1,±êÌâ,ÄÚÈÝ
2,An average smart humidifier,Overall it¡¯s a good humidifier but I think it¡¯s not should not stop automatically when the tank is empty. But it will notify the tank is empty.
3,Humidifier stopped connecting to WIFI even after resetting it and my home network.,
4,mold problem within the first month of use,"This humidifier definitely humidifies.  Unfortunately all my glass surfaces in the room had a film on them even though I used this humidifier on the auto setting.  My biggest complaint with this product is that I found it difficult to clean.  The vinegar did not remove the pink mold that was accumulating after 2-3 weeks of use.  The cleaning brush did not reach into the nooks and crannies, so I stopped using the humidifier because I want it completely free of mold.  I would return it except it appears to only have a 30 day window for return.  Bummer."
5,Ultra simple ultra functional humidifier,"Made long dry indoor winter comfortable with just the right amount of humidity. Super quiet, ultra light, and easy to refill. Wi-Fi smart devise control feature is nice too."
6,Not as smart as advertised,Connection to Wi-Fi is difficult. Had to reset it to factory settings to make it work. Customer Service number is a non-answering number so don¡¯t bother. Had to call Amazon to troubleshoot. Not a good experience overall. I would NOT recommend this item.
7,Water tank flooded on to floor,"I liked the product. It worked well for about 3 weeks. After that when I would refill the tank and place it on the base it would flood ALOT of water all over the floor. I was willing to pay a bit more for a superior product. however, this is not a superior product. I never dropped it or mistreated it in any way and it still developed a massive misfunction just as the Amazon return expired. I now have a $70 piece of plastic"
8,Easy fill,I like that it tells the humidity and in auto mode shuts down when at the acceptable range. Also very quiet.
9,Works as advertised,"We like the device so far. It's in our bedroom, so we appreciate the ability to turn off the display at night."
10,Quiet but cracks easily,I thought I was about to sleep better but this product cracks very easily. Ordered it had it only 3 days and it cracked and water was coming out. Got a replacement and had it less than 24 hrs it cracked in same place and leaking water
11,"White dust, my cheap humidifier works better","Esthetically pleasing, and works as described, lots of functions. However, this leaves white dust if you don't use distilled water.
I have separate humidistats everywhere in my home so I have been able to compare it to my cheapy humidifier. Fyi the humidistat is not accurate.  My Vick's Warm Steam no function humidifier works better, just doesn't have any extra functions. Very arid region and this one can't keep up with the cheapy. Likely returning."
12,Nice humidifier. One part is hard to clean.,"Very happy with this humidifier. There's one part that is hard to clean (an unremovable plastic part inside the chimney where the mist comes out), but otherwise it's a very quiet and reliable humidifier."
13,The best humidifier I've ever used,"I cannot say enough good things about this humidifier.
I've got bad allergies that are very sensitive to humidity and I grew up with a brother who had asthma so I've been using humidifiers my whole life. I've tried them all.
So please believe me when I say this is the actual best humidifier I have ever used.
It is so easy to fill - just pull the lid off and pour water in. No having to juggle the tank and the cap for it while you're pouring to avoid getting the table wet.
It is eerily quiet. I genuinely didn't even know it was on the first time until I bent down to listen and got a face full of mist.
We bought these without any consideration for the wifi connectivity - it wasn't on our priority list at all but holy crap is it so convenient. I can keep an eye on it when I'm at work if we've left it on or can turn off the display screen when we've already laid down for bed & have forgotten about it.
I've not used a humidifier with a display screen before, so I am so glad this one comes with the sleep mode to turn it off.
The best feature, by far though is the auto mode. Set it to a target humidity and just let it run. I have genuinely forgotten about them some days.
We bought two of these for our apartment - one for the living room and one for the bedroom. We've struggled with our old humidifiers and we were going through an uncomfortable amount of distilled water keeping them on all the time.
We've had these for about a week and already they keep this place at the most comfortable it's been since we've moved in. We wake up less congested and dry. I've stopped shocking the poor cat every time I pet him. I've stopped shocking MYSELF every time I get up off the couch. The cat has stopped scratching as much and his dandruff has all but disappeared. & they only run for maybe an hour a day total.
A humidifier is such a mundane thing to get excited about but when I can just completely forget about them and live more comfortable after years of struggling, I am SO EXCITED about these. I have told all my friends about them. They've changed my life.
I would consider them a little bit expensive, but they have been worth every penny so far."
14,Buttons are not the best part of this appliance,Works really great but wish the buttons on the machine were more tactile like buttons and didn¡¯t feel like I was pressing a plastic sheet. Hard to find buttons in the dark
15,Saved my stringed instruments!,This gets it done! My basses and guitars were suffering due to the dryness of the air. Being able to set this and forget it definitely has saved my investment!
16,Excellent features in this humidifier,"Very quiet, easy to fill"
17,What they don't tell you,"I bought this humidifier after becoming a plant papa this year and after noticing how dry my own skin was becoming this winter¡ª and I can say I have been satisfied with its performance, overall. The tank holds enough water to last a few days at times and after about an hour on the highest level¡ª I noticed a firm difference in the room. It's quiet and the automatic setting is nice too¡ª knowing it's only running when necessary is a relief since I have a lot of books in the room its in.

One thing worth mentioning more is the cleaning process:
1) Ideally, it should be cleaned thoroughly everyday. This includes letting the machine thoroughly dry before each use.
2) cleaning instructions suggest avoiding steriles, and opt for using white vinegar instead, and you will find yourself disassembling things you thought were permanent fixtures
3) my cousin and I purchased ours at the same time¡ª and we called one another after noticing that our white filters were turning orangey/brown¡ª I'm in NY and she's in NC. You'll need to soak the filter in a vinegar solutions, and that'll run you some time, I've read.
3) This thing produces A LOT of mist so you may also find dust caked onto surrounding surfaces too

Overall, we're all glad we got it. She said her asthma has improved and my skin (psoriasis) has definitely responded well to it, so have my babes. It's bulkier than you might expect too since you crowd objects around it for risk of mildew and things, so be prepared to give it a corner of its own.

If I had to get another, I might try something different, but this one would be the standard I'd expect and I could see myself coming back to it. Cleaning is a hassle, but living well isnt a walk in the park."
18,Great while it worked....,"Convenient and great while it worked. Loved the wifi control. Unfortunately, steam stopped coming out today. Thankfully, it's just shy of a month so still within the return/exchange window. Replacement is supposed to come tomorrow.

I also don't understand why you cannot return it to Whole Foods drop-off points for this product when I can for other items. It's the closest drop-off spot to me. Will update if the second one lasts over a month...."
19,Hard to clean,"The humidifier is very quiet and I love the smart features.  But it¡¯s impossible to clean because there are so many tight spaces a brush cannot get to.  My humidifier was five the first few weeks of cleaning but now I can see that pink-red slime bacteria in parts that I can¡¯t reach.  For example looking down at the tank, inside the tube where the mist comes out at the bottom there¡¯s a white piece that is thin and has a lip around it.  There¡¯s red bacteria all over it but our hands can¡¯t get down there and a long scrub brush is either too large, or it doesn¡¯t have the stiffness to clean that area.  And there are other similar areas.  I don¡¯t know why they don¡¯t make a dishwasher safe tank.  I¡¯d pay more for the ease of cleaning and safety!"
20,"Nice, silent humidifier","Great product for it's price, nice, silent work, and filling from the top of it - awesome addition to its convenient."
21,You need it.,"Gone are the days of me refilling a humidifier daily or even more than once or twice a week! This thing is amazing. I have very dry skin and my bedroom is dry so this was desperately needed.  I love having this and the Smart Control features are seriously the best. You can control everything from an app on your phone if you don¡¯t wanna use the manual buttons. It suggests a humidity range for you but you can set it at anything. The night light feature is handy and the sleep feature turns off all lights so that¡¯s great as well. If you¡¯re thinking about it, get it!"
22,Humidity Sensor stopped working after 30 days,"This is a solid product but do not depend on it. Other have had the same issue, after refilling one day it always shows 15-20points higher than actual humidity. I¡¯ve reset it twice and now my grow room has suffered. It¡¯s my fault for not having a fail safe but I really am disappointed. I have to reach out to the company for support and will edit once that¡¯s over."
23,Bought this for my bulldog. Great product. Nice Bluetooth feature,"It¡¯s a nice product. Haven¡¯t cleaned it yet.
Purchased for my bulldog"
24,"One of the best humidifiers and app I¡¯ve ever had, thanks",I really like everything about this humidifier
25,Crap construction,Thin two part plastic tank cracked within two weeks of use. It is now more plastic trash.
26,Not the easiest to figure out,"It¡¯s fine. But that¡¯s as far as I¡¯ll go. It¡¯s fine. It definitely does not last 5 nights, but it is a large tank. The app is fine but not great-wish it would say when water is low, not just out. Set it on a schedule for night time. Aroma pad may last 30 minutes. It is ginormous and not something I want seen. It started in the living room but is such an eye sore I moved it to hallway near bedrooms. It¡¯s fine. Wouldn¡¯t buy this one again."
27,Perfect for my plants,This is perfect for my plants.  It has a large capacity tank and I set it on a scheduled timer throughout the week.  It also works with Alexa which is great!
